common_name
Red-billed Scythebill
Brown-billed Scythebill
White-striped Woodcreeper
Streak-headed Woodcreeper
Spot-crowned Woodcreeper
Plain Xenops
Streaked Xenops
Buffy Tuftedcheek
Sharp-tailed Streamcreeper
Slaty-winged Foliage-gleaner
Buff-fronted Foliage-gleaner
Scaly-throated Foliage-gleaner
Lineated Foliage-gleaner
Ruddy Foliage-gleaner
Streak-breasted Treehunter
Buff-throated Foliage-gleaner
Chiriqui Foliage-gleaner
Striped Woodhaunter
Spotted Barbtail
Beautiful Treerunner
Ruddy Treerunner
Double-banded Graytail
Red-faced Spinetail
Coiba Spinetail
Pale-breasted Spinetail
Slaty Spinetail
Rufous-breasted Spinetail
Lance-tailed Manakin
Long-tailed Manakin
White-ruffed Manakin
Green Manakin
Blue-crowned Manakin
White-collared Manakin
Orange-collared Manakin
Golden-collared Manakin
White-crowned Manakin
Red-capped Manakin
Golden-headed Manakin
Purple-throated Fruitcrow
Bare-necked Umbrellabird
Lovely Cotinga
Turquoise Cotinga
Blue Cotinga
Rufous Piha
Three-wattled Bellbird
Black-tipped Cotinga
Yellow-billed Cotinga
Snowy Cotinga
Northern Schiffornis
Russet-winged Schiffornis
Speckled Mourner
Masked Tityra
Black-crowned Tityra
Barred Becard
Cinereous Becard
Cinnamon Becard
White-winged Becard
Black-and-white Becard
Gray-collared Becard
Rose-throated Becard
One-colored Becard
Jamaican Becard
Sharpbill
Royal Flycatcher
Ruddy-tailed Flycatcher
Tawny-breasted Flycatcher
Sulphur-rumped Flycatcher
Black-tailed Flycatcher
Gray-headed Piprites
Stub-tailed Spadebill
White-throated Spadebill
Golden-crowned Spadebill
Olive-striped Flycatcher
Ochre-bellied Flycatcher
Sepia-capped Flycatcher
Slaty-capped Flycatcher
Yellow-green Tyrannulet
Rufous-browed Tyrannulet
Bronze-olive Pygmy-Tyrant
Black-capped Pygmy-Tyrant
Scale-crested Pygmy-Tyrant
Pale-eyed Pygmy-Tyrant
Northern Bentbill
Southern Bentbill
Slate-headed Tody-Flycatcher
Common Tody-Flycatcher
Black-headed Tody-Flycatcher
Brownish Twistwing
Eye-ringed Flatbill
Olivaceous Flatbill
Yellow-olive Flycatcher
Yellow-margined Flycatcher
Yellow-breasted Flycatcher
Yellow-bellied Tyrannulet
Brown-capped Tyrannulet
Northern Beardless-Tyrannulet
Southern Beardless-Tyrannulet
Cocos Flycatcher
Mouse-colored Tyrannulet
Yellow Tyrannulet
Yellow-crowned Tyrannulet
Forest Elaenia
Gray Elaenia
Jamaican Elaenia
Greenish Elaenia
Caribbean Elaenia
Yellow-bellied Elaenia
White-crested Elaenia
Lesser Elaenia
Mountain Elaenia
Greater Antillean Elaenia
Torrent Tyrannulet
Rough-legged Tyrannulet
Sooty-headed Tyrannulet
Paltry Tyrannulet
Bright-rumped Attila
Choco Sirystes
Rufous Mourner
Yucatan Flycatcher
Sad Flycatcher
Dusky-capped Flycatcher
Panama Flycatcher
Ash-throated Flycatcher
Nutting's Flycatcher
Great Crested Flycatcher
Brown-crested Flycatcher
Grenada Flycatcher
Rufous-tailed Flycatcher
La Sagra's Flycatcher
Stolid Flycatcher
Puerto Rican Flycatcher
Lesser Antillean Flycatcher
Flammulated Flycatcher
Lesser Kiskadee
Great Kiskadee
Cattle Tyrant
Boat-billed Flycatcher
Rusty-margined Flycatcher
Social Flycatcher
Gray-capped Flycatcher
White-ringed Flycatcher
Golden-bellied Flycatcher
Golden-crowned Flycatcher
Streaked Flycatcher
Sulphur-bellied Flycatcher
Piratic Flycatcher
Variegated Flycatcher
Crowned Slaty Flycatcher
Tropical Kingbird
Couch's Kingbird
Cassin's Kingbird
Thick-billed Kingbird
Western Kingbird
Eastern Kingbird
Gray Kingbird
Loggerhead Kingbird
Giant Kingbird
Scissor-tailed Flycatcher
Fork-tailed Flycatcher
Bran-colored Flycatcher
Euler's Flycatcher
Tawny-chested Flycatcher
Black-billed Flycatcher
Belted Flycatcher
Pileated Flycatcher
Tufted Flycatcher
Olive-sided Flycatcher
Greater Pewee
Dark Pewee
Ochraceous Pewee
Western Wood-Pewee
Eastern Wood-Pewee
Tropical Pewee
Cuban Pewee
Jamaican Pewee
Hispaniolan Pewee
Lesser Antillean Pewee
Yellow-bellied Flycatcher
Acadian Flycatcher
Alder Flycatcher
Willow Flycatcher
White-throated Flycatcher
Least Flycatcher
Hammond's Flycatcher
Gray Flycatcher
Dusky Flycatcher
Pine Flycatcher
Pacific-slope Flycatcher
